,hashtag_name,owner_id,short_code,likes_count,comments_count,post_description
7,гдебыпоесть,19455021,BwpL8YEB7VA,1280,15,"Почему люди все делают так-как бы наоборот?Спешат стать взрослыми, а потом ностальгируют по детству.Тратят здоровье ради денег и тут же тратят деньги на то, чтобы поправить здоровье...) Думают о будущем с таким желанием, что пренебрегают настоящим.В следствие чего не имеют не настоящего, ни будущего) Живут так, словно никогда не состарятся и не умрут...и умирают словно никогда не жили. _______#съемки#шопинг#разборгардероба - и так всю неделю 🤦‍♀️ Нужна передышка )) А как ваша неделя проходит? Ностальгия по беззаботным мыслям - типа #гдебыпоесть #кудабысходить #настроение @missoni"
8,гдебыпоесть,197136543,B30KHCTIBch,170,3,"СЕГОДНЯ Я БЫЛ ТУТЦ.
⠀
Если кто не в курсе, то @veto4kin.ru и @kaplj вместе с братом открыли очень уютное местечко @nuzhen_uzhin_ , где много много много вкусняшек.
⠀
Поскольку диета (а если честно, то жена которая следит за этой диетой) заставила держать себя в руках, я попробовал всё глазами. А так бы сожрал с витрины всё подряд.
⠀
Удачи вам ребята. Место и правда какое-то очень домашнее. Запомните. Дорогу осилит поднявший свою задницу с дивана! Вперёд, Фандорины!!! #НуженУжин39 #НуженУжинКалининград #ГдеБыПоесть #ТутВкусно"
9,гдебыпоесть,48356217,BaV_mwkndhk,453,11,"И у нас на проспекте открылась бургерная 😋 неужели 👏🏻 @litrburger -
#уфа #литрбургер #litrburger #гдебыпоесть #милашкади #инстaмиp"
10,гдебыпоесть,487011275,Btxb-26At59,702,8,"#доброеутро начинается с #завтрака...
РУБРИКА #гдезавтракатьвекб в деле😉
.
Не знаю как вам товарищи, а мне почему-то оооочень тяжело просыпаться в последнее время, НО...
👉Если меня ждёт добрая встреча и вкусны завтрак, то жить становится чуть легче
.
Свою неделю я начала с тёплой беседы с @mashaduh и завтрака от @myfriendolivier .
.
Про Машу рассказываться не буду, а вот про завтраки поведаю так:
РАЗНООБРАЗНО...ВКУСНО...СЫТНО...ОПРАВДАНО
.
👉Мои блюда:
- круассан с лососем (подаётся с яйцом Бенедикт и сливочным кремом, листья салата и помидорка) - ВКУСНО ЖУТКО и без тяжести - 100 баллов;
- сырники, как дома, не мороженные, настоящие, только приготовленные (специально для меня сделали с мёдом, ибо так я люблю) в порции их три - ЛЮБИТЕЛИ СЫРНИКОВ ОЦЕНЯТ , конечно за отдельный плюс за то, что угодили с мёдом - 100 баллов;
- кофе капучино на миндальном молоке, вкусно...НО вышло сладковато (я любитель кофе, но не ценитель, поэтому мне нор) - 90 баллов
P.s. Каша на фото принадлежит не мне, просто качественно вписалась в натюрморт)))
.
👉Атмосфера: уютная и тёплая, Света не слишком много, как мне нравится, но именно от окошек дневной, так мягко добавляет освещения.
.
МОЕ ПРОБУЖДЕНИЕ ПРОШЛО УСПЕШНО🤟
.
Специально для вас оставляю в фото-карусели меню с ценами на завтраки...ПОЛЬЗУЙТЕСЬ👍
.
Пусть утро будет добрым, пробуждение приятным, а завтраки вкусными и сытными - НЯМ-НЯМ
.
#goodmorning
#гдебыпоесть
#такиезавтраки
#великийобозреватель
#вообщенеблогер
#нравитсяделиться
#simakovadancer
#olya_bambitta
#люблюзавтракать
#завтракимойдруголивье
#завтракиекатеринбург
#такедяттанцоры"
11,гдебыпоесть,2040816603,BIXtJrpDqJY,42,0,"Такой он, Выборг😂 #картинканафасаде 😜#выборг#встречайгостей#путешествиепороссии#фотонапамять#кафечердак#гдебыпоесть#знакомствосгородом"
12,гдебыпоесть,17913511,BHAaqK6tuLY,93,15,"#нуженсовет Друзья, к моему большому сожалению пришёл конец моему разнузданному и потрясающе вкусному питанию,  вынуждена соблюдать диету правильного питания (врачей слушаюсь и подчиняюсь им с детства)) Питаться теперь мне необходимо 6 раз в день и моя голова лопается от ""разнообразия"" вариантов тушеных/на пару блюд) 
Вопрос в следующем - где в Ставрополе можно питаться правильно?? Кафе/рестораны/закусочные/доставка?? Может, и надеюсь на это, я чего-то не знаю?!)
Посоветуйте🙏🏻 Буду благодарна и ссылкам на блоги о здоровом питании) 
#здоровьенепроешь #ставрополь #гдебыпоесть #stavropol"
13,гдебыпоесть,24636039663,B71C5QOIwXD,96,19,"Слабо выселить мастера из кабинета за стенкой?
⠀
Ладно, обо всем по порядку))
⠀
.... Мы реально не думали про кухню. Точнее, давно решили не связываться с ресторанным бизнесом🙈 Если вы понимаете почему, вы 100% из этой сферы😂
⠀
Несколько дней мы варились в раздумьях.
Во-первых, МЫ ЖЕ ЗАРЕКАЛИСЬ😂
Во-вторых, опыта немного, нужно нарастить компетенции. (Ага, у нас в запасе же столько свободного времени🤦🏼‍♀️)
В-третьих, КУХНЯ НУЖНА! И сделать ее надо не просто «чтобы была», а чтобы была достойная!
⠀
Плюс, открывать заведение, которое в своих головах окрестили «душой города», без кухни просто глупо.
⠀
Так и решились на это великое дело. Ииии.... барабанная дробь...
⠀
Помещения-то свободного за стеной нет!🙈😂
⠀
Нашлось на третьем этаже.
Несколько дней переговоров с арендодателем...
⠀
Особого результата сначала не дали 🙈 
Но, удача все же оказалась на нашей стороне: одна наша соседка пошла нам навстречу, переехала. Детали договорённостей история все же умолчит😁 как-никак, коммерческая тайна)) кому интересно имя спасительницы - @kristinazaya_nails . Если вы ей скажете «спасибо», нам будет приятно) мы правда могли остаться без кухни.
⠀
А теперь встаёт вопрос - как же наша концепция?
⠀
Она остаётся. Мы не будем рестораном. Но,  всегда сможем приготовить вкусную еду❤️
⠀
Пишите вопросики, что ещё интересно, а мы будем продолжать рассказ))
⠀
#angarsk_news
#angarskcity
#философангарск
#гдебыпоесть"
14,гдебыпоесть,201805095,B3g69zMoBZ2,65,15,"Где же поесть ракушек, как не на Елисейских полях!🐚 Кафе Leon обеспечит вас огромными порциями ракушек тушеных в белом вине! (Ну конечно же в вине, мы же во Франции🤪). В больших городах всегда проблема с выбором еды. Полагаться на рекомендации отзовиков не стоит, потому как даже рестораны с блестящими отзывами иногда разочаровывают, и, наоборот, отзывы средней звёздности иногда совершенно неоправданно занижают рейтинг кафе, поэтому только личный опыт!) #paris #france #champselysees #leon #гдебыпоесть #ракушки #большеракушек"
15,гдебыпоесть,344027508,Bt_1aMUFuf2,44,9,"Знаете, что больше всего пугало меня в этих интенсивах 😱? Ситуация, когда я одна с ребёнком, занятия целый день, а ещё нужно придумать, купить продукты, приготовить и покормить ребёнка во время.

То ли дело санатории, когда готовая еда и чётко по часам 🕐. ""Перекусить в макдаке"" это не про Серёжу, он там только нагетсы без шкурки ест 🤓. Чтобы каждый день в местные ресторанчики ходить, бюджет побольше нужно иметь 💰.
Да и не факт, что Серёга не забракует еду.

В магазин с ним тоже спокойно не сходишь, а иногда и не уговоришь зайти 🙈. Мы даже любимый Сережин геркулес определенной марки с собой привезли 😉, и любимый гречишный 🍯 мёд 😋. В сторис стараюсь выкладывать некоторые моменты нашей жизни здесь.

Что вам интересно?
🌊Море,
🤓 занятия,
🌁 город?

#сережининтенсив #мореморе #гдебыпоесть #кипрзимой #всепобедим #сережабудетговорить"
16,гдебыпоесть,5739062734,B8oW0bzI-rH,23,0,"Побывали в @sushibarmanhattan на Ермакова. 🍽️ До этого были в других их заведениях, в частности на Ильинке, но и тут оказалось очень уютно.

Блюда как всегда были нереально вкусными, а особенно любимый мною салат ""Меч самурая"". Уж больно он хорош.🧡 Единственное, что немного подкачало-время ожидания, но на то были объективные причины. 
#гдебыпоесть #новокузнецк #заведениянвкз #кафе #ресторан #сушибар #сушибарманхэттен #булкакафе #nvkz #kitchen #sushibarmanhattan"
